Deutsch; Latein; Lektion
wenn, falls;si;7
oder (etwa), oder, oder etwa;an;7
immer wenn, als plötzlich, zu der Zeit als,  als (plötzlich), (zu der Zeit) als, (immer) wenn;cum;8
weil;quia;8
wenn nicht;nisi;8
obwohl;quamquam;8
nachdem, als;postquam;8
