Inf_Deutsch;Wortstamm;Konjugation;Lektion;Personalendung;Sprechvokal
fragen, suchen, erwerben wollen;quaer;kons-Konjugation;7;;kons-Konjugation
verkaufen;vend;kons-Konjugation;7;;kons-Konjugation
kaufen;em;kons-Konjugation;7;;kons-Konjugation
sich setzen, sich niederlassen;consid;kons-Konjugation;7;;kons-Konjugation
berühren;atting;kons-Konjugation;7;;kons-Konjugation
bemerken;animadvert;kons-Konjugation;7;;kons-Konjugation
wiederholen, (zurück)verlangen, zurückverlangen, verlangen;repet;kons-Konjugation;7;;kons-Konjugation
aufhören;desin;kons-Konjugation;8;;kons-Konjugation
schonen, verschonen;parc;kons-Konjugation;8;;kons-Konjugation
bitten, verlangen, streben;pet;kons-Konjugation;8;;kons-Konjugation
fliegen, eilen;vol;a-Konjugation;7;;a-Konjugation
werfen, schleudern;iact;a-Konjugation;7;;a-Konjugation
glauben, meinen, halten für;put;a-kons;8;;a-Konjugation
kämpfen;pugn;a-Konjugation;8;;a-Konjugation
abwesend sein, nicht da sein, fehlen;ab;special;7;no;esse
abwesend sein, fehlen, nicht da sein;de;special;7;no;esse
zusammenkommen, zusammenpassen, besuchen;conveni;i-Konjugation;7;;i-Konjugation
entreißen;erip;i-Konjugation;8;;i-Konjugation
